Year,Median length,Median Danceability,Median Energy,Median Instrumentalness,Median Acousticness,Median Liveness,Median Loudness,Median Speechiness,Median Tempo,Median Time signature
1970,200960,0.617,0.621,0.00000124,0.411,0.173,-11.135,0.0369,109.481,4
1971,213319.5,0.582,0.47,0.00003915,0.423,0.141,-11.216,0.0392,116.5775,4
1972,198986,0.541,0.464,0.0000119,0.556,0.124,-10.701,0.037,125.276,4
1973,227410,0.5545,0.613,0.00000058,0.36,0.124,-10.447,0.038,113.207,4
1974,206560,0.663,0.54,2.85E-05,0.303,0.265,-9.831,0.041,114.268,4
1975,216413,0.6495,0.5475,0.00007785,0.302,0.1205,-10.8555,0.0381,107.8075,4
1976,230513,0.7055,0.4735,0.0001275,0.239,0.0746,-10.3855,0.03755,118.3245,4
1977,231732,0.579,0.57,0.000122,0.198,0.0951,-9.746,0.0369,114.224,4
1978,236693,0.687,0.4875,0.00005285,0.2525,0.1305,-9.77,0.03775,109.6635,4
1979,295262.5,0.6995,0.623,0.00193,0.0601,0.0719,-9.488,0.0377,118.408,4
1980,238826,0.672,0.602,0.0000205,0.2815,0.09875,-10.4725,0.0402,122.1135,4
1981,233893,0.701,0.667,0.0000386,0.403,0.117,-8.805,0.0395,110.77,4
1982,226233,0.621,0.525,0.000002655,0.1368,0.14,-9.489,0.0378,124.0495,4
1983,260286,0.6535,0.6385,3.96E-05,0.10525,0.1095,-8.629,0.0388,117.9735,4
1984,246020,0.722,0.6915,0.000093,0.142,0.153,-8.7115,0.0366,123.9025,4
1985,262486.5,0.647,0.7175,0.00001032,0.139,0.09025,-8.887,0.0366,116.829,4
1986,258120,0.62,0.544,0.00000589,0.221,0.108,-12.697,0.0313,111.196,4
1987,246833,0.6245,0.6945,0.00009585,0.1162,0.172,-11.621,0.0411,112.42,4
1988,267306,0.629,0.645,0.00000568,0.141,0.116,-11.855,0.033,117.254,4
1989,244266.5,0.6355,0.631,0.00000977,0.1545,0.128,-7.767,0.0355,115.825,4
1990,282713,0.703,0.6205,0.00000421,0.11025,0.1055,-9.5235,0.0364,109.819,4
1991,258013,0.639,0.582,5E-06,0.152,0.09595,-9.817,0.0334,112.013,4
1992,260399.5,0.7065,0.648,0.000057155,0.0543,0.135,-10.1965,0.0442,102.504,4
1993,265106,0.701,0.608,0,0.107,0.137,-10.975,0.0513,107.829,4
1994,248573,0.608,0.55,6.265E-06,0.1445,0.104,-8.3775,0.0354,127.423,4
1995,241199.5,0.657,0.6865,8.165E-06,0.0561,0.109,-6.1545,0.0363,111.1695,4
1996,256426.5,0.6045,0.528,0,0.1335,0.132,-8.908,0.0472,114.991,4
1997,254513,0.6325,0.6335,0.00000074,0.151,0.122,-7.54,0.03425,110.9455,4
1998,258346,0.6725,0.578,2.15E-06,0.175,0.116,-8.0165,0.0383,125.2995,4
1999,258212.5,0.633,0.618,0.000001625,0.1149,0.119,-7.9065,0.0402,103.522,4
2000,256599.5,0.7095,0.7775,0.000007815,0.0863,0.1355,-6.3175,0.0399,111.953,4
2001,229533,0.6925,0.66,0,0.17,0.1345,-5.009,0.06505,99.9095,4
2002,244819.5,0.718,0.713,0,0.09695,0.107,-5.0935,0.05735,98.339,4
2003,250746,0.648,0.668,0,0.117,0.141,-5.611,0.0423,92.982,4
2004,234573,0.7415,0.645,0,0.0887,0.1205,-5.7735,0.10025,105.0085,4
2005,218406,0.7085,0.6755,0.000003925,0.0368,0.1045,-6.044,0.0982,116.517,4
2006,231753,0.751,0.717,0,0.07575,0.147,-5.7105,0.06985,115.1755,4
2007,230620,0.7195,0.741,0,0.1193,0.1235,-5.0735,0.07005,122.5965,4
2008,250099.5,0.676,0.6915,0,0.0566,0.1345,-5.611,0.0693,125.486,4
2009,237160,0.7,0.734,0,0.03925,0.1375,-5.3245,0.0607,130.006,4
2010,221826.5,0.6925,0.829,0,0.02835,0.1125,-4.468,0.0531,119.9895,4
2011,228933,0.69,0.772,0,0.06155,0.139,-5.0295,0.05795,126.006,4
2012,220206,0.7125,0.7685,0.00000246,0.02665,0.112,-4.7035,0.0464,125.0085,4
2013,232359,0.6215,0.5995,0.000000535,0.05545,0.132,-5.747,0.04445,113.97,4
2014,214909.5,0.669,0.71,0,0.07045,0.132,-5.7085,0.06925,119.949,4
2015,225809,0.697,0.68,0,0.0631,0.1325,-5.728,0.0622,118.954,4
2016,216826,0.67,0.686,0,0.07745,0.1115,-5.643,0.0609,107.9575,4
2017,223138,0.732,0.6435,0,0.05715,0.121,-5.178,0.07875,115.058,4
2018,217615.5,0.706,0.637,0,0.1115,0.1315,-5.8185,0.07095,111.5415,4
2019,190953,0.7555,0.546,0,0.192,0.1035,-6.2005,0.0805,104.982,4
