Year,Var of length,Var of Danceability,Var of Energy,Var of Instrumentalness,Var of Acousticness,Var of Liveness,Var of Loudness,Var of Speechiness,Var of Tempo,Var of Time signature
1970,1601410430,0.032574386,0.038793766,7.95001E-06,0.056514256,0.021899169,9.192088064,0.001375304,338.6551251,0
1971,2295682616,0.037298261,0.037080684,0.00038094,0.051791209,0.008446877,9.168527924,0.001092913,1275.714634,0
1972,6258683883,0.023596608,0.034748359,4.41916E-05,0.064259053,0.015696597,13.19578154,0.006334729,966.9910083,0
1973,1733793913,0.013035987,0.035676147,0.042951077,0.064829286,0.029672962,8.080640824,0.001224398,1016.062745,0.055555556
1974,2586496983,0.023713561,0.049690398,0.035938576,0.099645887,0.059681048,8.304883474,0.00815802,598.5744721,0.052631579
1975,1928545268,0.013510976,0.033986537,0.001335785,0.096912744,0.007533286,15.62926357,0.00020409,339.9586322,0.05
1976,3817507298,0.024547208,0.051477461,0.053475273,0.049666608,0.002532111,11.72707626,0.000307187,501.4261155,0.094736842
1977,2017385104,0.019276433,0.024822585,0.007503414,0.087350045,0.028790854,5.756277842,0.000159809,305.3994588,0.052631579
1978,2193943769,0.020277958,0.037946986,0.000176986,0.080328386,0.015041683,17.91084899,0.000766537,855.368233,0.094736842
1979,7979401429,0.012408682,0.018600884,0.00717336,0.050914071,0.030109789,6.424748555,0.000123882,314.0323159,0.05
1980,1707310072,0.034138576,0.032923557,0.010525853,0.071398313,0.008092529,7.287785629,0.000900246,717.7279782,0.05
1981,1339079857,0.023084275,0.031897708,0.000927423,0.056752275,0.02184245,7.043651702,0.000308326,660.918197,0
1982,2097030221,0.026627042,0.020916463,0.00790989,0.04601653,0.022285492,8.699294989,0.000344299,667.7299507,0
1983,5098266677,0.017126642,0.020346892,0.00733908,0.046474344,0.019772536,6.501757629,0.000173777,381.6285678,0
1984,837579180.3,0.013511895,0.041196408,2.39734E-05,0.01973176,0.028708605,10.25340154,0.00030231,888.0486599,0
1985,2286908000,0.009945818,0.033836316,0.005883486,0.009607555,0.007058279,11.65345212,0.000108134,737.4412189,0
1986,1623613262,0.02158448,0.040312433,0.000266373,0.061112314,0.023823775,9.572908649,0.000222436,351.7946808,0.052631579
1987,1227180771,0.020882239,0.034625958,0.004742766,0.070248016,0.033611943,11.86721813,0.000555287,705.3511386,0.05
1988,3004514189,0.027060474,0.054239386,0.001459036,0.042291028,0.014514405,10.90220181,0.000629062,693.7870668,0.099415205
1989,764171257.7,0.018476253,0.03841445,0.00014019,0.060569542,0.012722098,7.277743103,0.000463672,835.3819557,0
1990,1139620059,0.024942555,0.034685568,1.41678E-06,0.051562066,0.020827674,6.381367818,0.001618444,779.1261677,0.05
1991,2770763979,0.014760092,0.0597492,0.014626925,0.064083996,0.014439716,7.184488682,0.000554946,764.0543748,0.05
1992,6236433883,0.021895905,0.041701734,0.002471868,0.063143099,0.037942559,9.57764645,0.004866815,611.2922161,0.05
1993,2378944077,0.029719023,0.062594228,0.011604889,0.092862871,0.049119831,12.1055462,0.00443679,589.9603945,0
1994,1584343583,0.020116379,0.029256011,0.007545753,0.084171061,0.002877474,7.387948576,0.002517755,1273.552627,0.094736842
1995,1562695014,0.011981621,0.039751205,1.11457E-05,0.065885498,0.021692977,6.625013187,0.000835057,664.7640006,0.05
1996,2143710067,0.028696682,0.030547629,4.66613E-06,0.090769476,0.059775729,3.131144134,0.004332648,1041.08638,0.05
