Year,Max length,Max Popularity,Max Danceability,Max Energy,Max Instrumentalness,Max Acousticness,Max Liveness,Max Loudness,Max Speechiness,Max Tempo,Max Time signature
1970,293120,78,0.9,0.841,0.0121,0.822,0.654,-5.076,0.192,143.462,4
1971,350266,72,0.886,0.934,0.0853,0.88,0.359,-3.594,0.171,208.282,4
1972,516893,75,0.846,0.856,0.0274,0.911,0.545,-7.423,0.328,171.762,4
1973,290960,75,0.677,0.871,0.88,0.846,0.648,-6.211,0.168,172.015,4
1974,329720,77,0.808,0.933,0.808,0.915,0.918,-5.212,0.34,177.576,4
1975,322066,70,0.811,0.853,0.13,0.903,0.345,-5.514,0.0693,168.169,4
1976,415133,74,0.925,0.984,0.759,0.835,0.243,-4.52,0.0829,173.154,4
1977,391376,83,0.867,0.915,0.362,0.932,0.76,-6.53,0.0769,147.125,4
1978,344773,71,0.867,0.842,0.0513,0.874,0.485,-4.746,0.115,191.539,4
1979,495400,73,0.882,0.881,0.374,0.851,0.743,-6.824,0.0625,165.818,4
1980,353520,76,0.925,0.855,0.458,0.94,0.352,-6.887,0.166,169.486,4
1981,299373,76,0.885,0.832,0.115,0.816,0.631,-5.851,0.0817,174.732,4
1982,331200,74,0.889,0.834,0.398,0.744,0.659,-5.025,0.115,201.327,4
1983,478106,81,0.932,0.812,0.339,0.648,0.67,-6.516,0.0746,163.741,4
1984,352906,77,0.855,0.989,0.0205,0.576,0.583,-4.434,0.097,208.571,4
1985,427333,84,0.777,0.928,0.344,0.391,0.352,-4.897,0.0672,164.252,4
1986,363640,72,0.898,0.947,0.0567,0.789,0.632,-6.617,0.091,144.998,4
1987,303266,82,0.905,0.938,0.309,0.864,0.845,-3.777,0.124,175.088,4
1988,356400,74,0.887,0.953,0.154,0.655,0.485,-4.899,0.117,180.29,4
1989,294413,76,0.879,0.975,0.0512,0.8,0.457,-5.192,0.123,177.679,4
1990,335240,76,0.885,0.954,0.00417,0.731,0.633,-5.031,0.21,205.467,4
1991,394133,66,0.746,0.951,0.422,0.763,0.462,-4.45,0.12,201.799,5
1992,536066,81,0.937,0.908,0.22,0.8,0.725,-3.404,0.322,184.174,4
1993,373626,77,0.888,0.976,0.471,0.844,0.946,-4.259,0.222,172.406,4
1994,334440,72,0.888,0.888,0.387,0.882,0.241,-4.433,0.244,187.538,4
1995,332066,79,0.833,0.956,0.0149,0.949,0.595,-3.771,0.149,178.119,4
1996,390760,74,0.873,0.905,0.00713,0.977,0.909,-3.759,0.28,177.508,4
1997,344813,79,0.928,0.938,0.00713,0.977,0.338,-4.952,0.251,187.918,4
1998,451440,67,0.852,0.959,0.118,0.704,0.886,-3.704,0.0929,178.669,4
1999,353026,73,0.867,0.962,0.00457,0.684,0.523,-4.998,0.361,175.72,4
2000,316733,79,0.829,0.947,0.0876,0.452,0.431,-1.915,0.272,155.827,4
2001,330026,79,0.908,0.925,0.125,0.439,0.404,-2.994,0.334,203.862,5
2002,304000,84,0.956,0.94,0.000164,0.421,0.3,-2.776,0.483,199.765,4
2003,359973,80,0.866,0.943,0.000363,0.615,0.707,-3.188,0.317,151.956,4
2004,316053,82,0.925,0.974,0.00105,0.863,0.364,-2.261,0.415,200.053,4
2005,284960,78,0.944,0.983,0.0303,0.344,0.972,-2.218,0.481,166.81,5
2006,303053,83,0.967,0.978,0.0577,0.633,0.413,-1.609,0.31,210.857,4
2007,293053,82,0.939,0.959,0.751,0.831,0.514,-2.18,0.576,175.868,4
2008,299333,80,0.918,0.88,0.00413,0.363,0.614,-3.142,0.325,172.155,4
2009,338853,83,0.867,0.877,0.00171,0.595,0.601,-3.363,0.296,193.437,4
2010,294573,83,0.827,0.94,0.0015,0.386,0.704,-2.718,0.365,173.906,4
2011,263173,84,0.766,0.939,0.115,0.29,0.667,-2.959,0.196,151.684,4
2012,277040,77,0.864,0.939,0.0492,0.591,0.392,-2.451,0.346,201.843,4
2013,326280,83,0.853,0.922,0.00182,0.945,0.668,-3.686,0.293,179.984,4
2014,269560,86,0.912,0.963,0.128,0.922,0.55,-3.68,0.232,160.02,4
2015,281560,84,0.856,0.873,0.00123,0.637,0.565,-3.081,0.165,175.924,4
2016,295493,84,0.803,0.928,0.124,0.835,0.391,-2.787,0.449,169.977,4
2017,343150,86,0.927,0.816,0.0219,0.695,0.253,-3.089,0.431,186.003,4
2018,263400,87,0.851,0.909,0.00372,0.568,0.552,-3.061,0.2,159.801,4
2019,312820,88,0.9,0.904,0.334,0.592,0.252,-2.729,0.375,158.087,4
