Year,Min length,Min Popularity,Min Danceability,Min Energy,Min Instrumentalness,Min Acousticness,Min Liveness,Min Loudness,Min Speechiness,Min Tempo,Min Time signature
1970,166466,0,0.149,0.206,0,0.0244,0.0427,-15.178,0.0246,79.764,4
1971,149160,0,0.255,0.242,0,0.0991,0.0238,-15.424,0.0255,68.82,4
1972,144866,0,0.311,0.0264,0,0.0904,0.0542,-21.644,0.0272,65.311,4
1973,167533,0,0.303,0.191,0,0.0263,0.0477,-15.031,0.026,67.322,3
1974,161813,0,0.265,0.168,0,0.00166,0.0685,-15.16,0.0247,74.798,3
1975,158306,0,0.392,0.164,0,0.0255,0.0188,-23.035,0.0237,90.105,3
1976,182533,49,0.39,0.236,0,0.00719,0.0287,-16.23,0.0253,96.469,3
1977,172586,45,0.335,0.303,0,0.00574,0.0575,-15.903,0.027,70.856,3
1978,167613,41.5,0.322,0.0803,0,0.014,0.0664,-20.518,0.0254,77.47,3
1979,178826,28.5,0.505,0.433,0,0.00476,0.0318,-15.205,0.0246,75.69,3
1980,163373,57,0.258,0.0971,0,0.00128,0.0377,-15.881,0.0258,65.346,3
1981,162466,54,0.306,0.267,0,0.0514,0.0631,-14.937,0.025,67.858,4
1982,153880,59,0.33,0.378,0,0.0208,0.0338,-14.523,0.0273,80.647,4
1983,215200,48.5,0.377,0.326,0,0.00388,0.0414,-14.996,0.0254,88.75,4
1984,204600,64,0.487,0.246,0,0.0102,0.043,-14.228,0.0282,61.084,4
1985,218626,68,0.408,0.26,0,0.0086,0.0585,-18.453,0.0255,72.58,4
1986,213013,59,0.286,0.222,0,0.00979,0.0403,-16.093,0.0264,74.142,3
1987,174186,47,0.396,0.286,0,0.000185,0.0212,-17.227,0.0228,80.975,3
1988,180517,50,0.267,0.238,0,0.00211,0.0399,-15.595,0.0226,84.989,3
1989,198573,52,0.395,0.252,0,0.0035,0.0307,-14.127,0.0245,75.656,4
1990,209760,53,0.258,0.305,0,0.00195,0.0494,-15.427,0.0255,78.61,3
1991,189293,54.5,0.273,0.134,0,0.000341,0.0189,-14.898,0.0264,81.814,4
1992,170466,59.5,0.294,0.234,0,0.0000491,0.043,-15.784,0.0246,74.836,3
1993,169493,59,0.306,0.189,0,0.000925,0.0366,-17.13,0.0344,66.98,4
1994,183760,60,0.309,0.181,0,0.00104,0.0548,-17.022,0.0233,65.004,3
1995,166693,63.5,0.395,0.0744,0,0.00152,0.0314,-16.092,0.0239,88.684,3
1996,212560,58,0.19,0.276,0,0.00327,0.0426,-11.697,0.025,60.117,3
1997,173026,58,0.298,0.0735,0,0.0046,0.0482,-16.472,0.0262,78.311,4
1998,201573,47,0.366,0.421,0,0.00129,0.0391,-12.399,0.0246,73.97,4
1999,201400,59,0.428,0.355,0,0.00682,0.0454,-16.183,0.0258,71.515,3
2000,202706,67,0.459,0.346,0,0.0000515,0.0348,-9.88,0.0279,85.031,4
2001,193093,64.5,0.446,0.52,0,0.00118,0.04,-9.928,0.0296,79.147,3
2002,168253,71,0.32,0.471,0,0.000101,0.0304,-8.074,0.0267,77.987,4
2003,186066,69,0.256,0.406,0,0.00249,0.0512,-9.17,0.0241,76.19,3
2004,206200,66,0.19,0.265,0,0.000616,0.0388,-9.867,0.0252,79.012,3
2005,188960,66,0.259,0.446,0,0.000155,0.0243,-10.96,0.0267,87.904,3
2006,182066,72.5,0.452,0.454,0,0.004,0.0519,-9.87,0.0278,81.998,4
2007,179120,68,0.423,0.443,0,0.000738,0.0426,-9.383,0.0295,80.001,4
2008,179640,68,0.466,0.428,0,0.00223,0.0535,-9.469,0.0287,82.082,4
2009,193213,69.5,0.276,0.457,0,0.00552,0.0627,-8.322,0.0265,65.997,4
2010,180480,72,0.563,0.517,0,0.00155,0.0329,-6.963,0.028,86.989,4
2011,200013,67,0.575,0.558,0,0.00125,0.0319,-8.685,0.0292,92.021,4
2012,181400,69.5,0.378,0.431,0,0.000146,0.0801,-8.407,0.0253,92.998,4
2013,163133,71.5,0.448,0.28,0,0.00334,0.0398,-10.164,0.0283,72.795,4
2014,172723,73,0.407,0.147,0,0.00107,0.0491,-9.504,0.0312,74.897,3
2015,176561,72.5,0.432,0.342,0,0.00346,0.0344,-8.541,0.0295,78.998,3
2016,173986,76,0.481,0.314,0,0.00776,0.0371,-9.828,0.0303,74.989,4
2017,165386,80,0.358,0.434,0,0.000282,0.0902,-8.795,0.0311,80.984,4
2018,163870,80,0.511,0.448,0,0.00261,0.0215,-9.211,0.0232,75.023,3
2019,149546,83.5,0.56,0.317,0,0.00513,0.064,-10.965,0.0287,82.014,4
