Name,Album,Artist,Popular_date,Length,Danceability,Acousticness,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature,k_cluster
Bridge Over Troubled Water,Bridge Over Troubled Water,Simon & Garfunkel,1970,293120,0.149,0.8220000000000001,0.20600000000000002,0.0006490000000000001,0.115,-13.888,0.0323,79.764,4,0
(They Long To Be) Close To You,Close To You,Carpenters,1970,276000,0.5429999999999999,0.669,0.24100000000000002,6.27e-05,0.121,-14.59,0.0344,89.07799999999999,4,0
"American Woman - 7"" Single Version",Platinum & Gold Collection,The Guess Who,1970,231640,0.5379999999999999,0.0424,0.841,0.0017800000000000001,0.312,-7.547000000000001,0.0375,93.07700000000001,4,1
War - Single Version,Superstar Series Vol. 3,Edwin Starr,1970,200960,0.591,0.0677,0.7809999999999999,0.0,0.294,-9.68,0.192,109.48100000000001,4,1
Ain't No Mountain High Enough,Diamond Diana: The Legacy Collection,Diana Ross,1970,215200,0.39299999999999996,0.191,0.792,0.00364,0.376,-5.0760000000000005,0.0448,98.757,4,0
I'll Be There,Third Album,The Jackson 5,1970,237760,0.51,0.593,0.515,1.24e-06,0.654,-7.247000000000001,0.0253,93.212,4,0
Get Ready - Single Version,Greatest Hits And Rare Classics,Rare Earth,1970,166466,0.617,0.0244,0.83,0.0121,0.259,-10.197000000000001,0.028999999999999998,136.786,4,1
Let It Be - Remastered 2009,Let It Be (Remastered),The Beatles,1970,243026,0.44299999999999995,0.631,0.40299999999999997,0.0,0.111,-8.339,0.0322,143.46200000000002,4,0
Band Of Gold - Re-Record,Band Of Gold (Remix),Freda Payne,1970,182533,0.631,0.451,0.746,0.0,0.424,-5.439,0.0277,108.875,4,1
Mama Told Me (Not To Come),The Best Of 3 Dog Night,Three Dog Night,1970,196933,0.6779999999999999,0.135,0.621,0.000468,0.207,-13.454,0.0537,120.7,4,1
Everything Is Beautiful - 1970 #1 Billboard chart hit,Everything Is Beautiful,Ray Stevens,1970,212773,0.37,0.514,0.37799999999999995,0.0,0.222,-15.177999999999999,0.0369,112.15899999999999,4,0
Make It with You,The Best of Bread,Bread,1970,192200,0.629,0.66,0.35600000000000004,0.000617,0.17300000000000001,-11.135,0.0246,83.88600000000001,4,0
Hitchin' a Ride,Rewind the 70s - Volume 2,Various Artists,1970,176160,0.73,0.17300000000000001,0.643,0.0,0.177,-11.186,0.0286,130.748,4,1
ABC,ABC,The Jackson 5,1970,177733,0.715,0.486,0.6779999999999999,0.000192,0.15,-11.842,0.0475,94.76899999999999,4,1
The Love You Save,ABC,The Jackson 5,1970,181426,0.755,0.41100000000000003,0.713,0.0,0.11800000000000001,-10.953,0.0513,113.656,4,1
Cracklin' Rosie - Single Version,Tap Root Manuscript,Neil Diamond,1970,179933,0.562,0.319,0.503,0.0,0.163,-14.835999999999999,0.0335,127.82700000000001,4,0
Candida,Candida,Tony Orlando & Dawn,1970,182973,0.7829999999999999,0.235,0.596,0.0,0.0427,-10.056000000000001,0.0676,127.57600000000001,4,1
Thank You (Falettinme Be Mice Elf Agin) - Single Version,Greatest Hits,Sly & The Family Stone,1970,291320,0.9,0.29600000000000004,0.7090000000000001,0.00047000000000000004,0.0863,-12.683,0.0636,105.822,4,1
Spill The Wine,The Best Of Eric Burdon & War,Eric Burdon,1970,244306,0.845,0.47,0.447,0.0,0.0782,-11.897,0.049,119.45700000000001,4,1
Joy To The World,Naturally,Three Dog Night,1971,220573,0.649,0.46399999999999997,0.679,0.00121,0.33899999999999997,-12.515,0.0316,126.867,4,0
Maggie May,Every Picture Tells A Story,Rod Stewart,1971,350266,0.611,0.611,0.583,0.0853,0.0688,-10.427999999999999,0.0408,129.43200000000002,4,0
Reason To Believe,The Definitive Collection - 1969-1978,Rod Stewart,1971,248920,0.349,0.6990000000000001,0.584,0.00172,0.222,-9.663,0.0441,138.215,4,0
It's Too Late,Tapestry,Carole King,1971,233173,0.45,0.498,0.441,0.00562,0.133,-12.718,0.0352,208.282,4,0
One Bad Apple,Osmonds,The Osmonds,1971,164973,0.6,0.382,0.5670000000000001,0.0,0.213,-7.162999999999999,0.0398,101.041,4,0
How Can You Mend A Broken Heart,Trafalgar,Bee Gees,1971,237826,0.335,0.5479999999999999,0.262,0.0,0.0971,-13.832,0.0393,68.82,4,0
Go Away Little Girl,20th Century Masters: The Millennium Collection: Best of Donny Osmond,Donny Osmond,1971,149160,0.316,0.76,0.39,0.00018600000000000002,0.149,-11.472000000000001,0.0409,110.055,4,0
"Take Me Home, Country Roads - Rerecorded","The John Denver Collection, Vol. 1: Take Me Home Country Roads",John Denver,1971,197813,0.255,0.546,0.43,1.87e-05,0.188,-12.564,0.0322,164.267,4,0
Just My Imagination (Running Away With Me),Sky's The Limit,The Temptations,1971,228160,0.425,0.88,0.242,0.0118,0.195,-15.424000000000001,0.0267,92.47200000000001,4,0
Knock Three Times,The Definitive Collection,Tony Orlando & Dawn,1971,180360,0.777,0.154,0.581,0.0,0.11,-10.129,0.0517,123.1,4,1
Me and Bobby McGee,Pearl (Legacy Edition),Janis Joplin,1971,271333,0.45299999999999996,0.302,0.46399999999999997,5.96e-05,0.152,-10.96,0.0431,93.19,4,0
Tired of Being Alone,Gets Next to You,Al Green,1971,172320,0.772,0.33899999999999997,0.397,0.00541,0.0753,-8.585,0.0391,97.964,4,1
Smiling Faces Sometimes,The Undisputed Truth,The Undisputed Truth,1971,198546,0.551,0.252,0.461,2.39e-06,0.0541,-11.777999999999999,0.0255,105.155,4,0
Treat Her Like A Lady,The Story Of Cornelius Brothers & Sister Rose,Cornelius Brothers & Sister Rose,1971,160360,0.775,0.191,0.47600000000000003,0.0,0.132,-8.539,0.0355,131.4,4,1
You've Got a Friend,Mud Slide Slim and the Blue Horizon,James Taylor,1971,268706,0.695,0.6809999999999999,0.282,0.0267,0.0767,-15.359000000000002,0.0295,91.681,4,0
Mr. Big Stuff,Mr. Big Stuff,Jean Knight,1971,164560,0.8859999999999999,0.29,0.491,2.46e-06,0.22899999999999998,-12.589,0.171,93.236,4,1
Brown Sugar - 2009 Mix,Sticky Fingers (Remastered),The Rolling Stones,1971,228666,0.633,0.21899999999999997,0.934,0.00021,0.0592,-3.594,0.0344,128.606,4,1
Do You Know What I Mean,5th (Remastered),Lee Michaels,1971,192022,0.7879999999999999,0.131,0.865,1.58e-05,0.0238,-9.729,0.0575,109.081,4,1
The Night They Drove Old Dixie Down,Blessed Are...,Joan Baez,1971,206066,0.564,0.5579999999999999,0.35700000000000004,0.0,0.233,-12.752,0.0326,129.24200000000002,4,0
What's Going On,What's Going On - 40th Anniversary (Super Deluxe),Marvin Gaye,1971,232600,0.265,0.0991,0.8240000000000001,0.0,0.359,-5.654,0.0991,203.206,4,0
The First Time Ever I Saw Your Face,First Take,Roberta Flack,1972,260666,0.311,0.731,0.0264,0.00205,0.156,-21.644000000000002,0.037000000000000005,120.65299999999999,4,0
Alone Again (Naturally),Back to Front,Gilbert O'Sullivan,1972,217728,0.5579999999999999,0.583,0.46399999999999997,0.000133,0.159,-8.488,0.0354,171.762,4,0
American Pie,American Pie,Don McLean,1972,516893,0.531,0.6990000000000001,0.48100000000000004,0.0,0.0842,-11.709000000000001,0.06,138.45,4,0
Without You,Everybody's Talkin': The Very Best of Harry Nilsson,Harry Nilsson,1972,202026,0.441,0.556,0.212,5.52e-06,0.0578,-13.657,0.0287,65.311,4,0
The Candy Man,20th Century Masters: The Millennium Collection: Best Of Sammy Davis Jr.,Sammy Davis Jr.,1972,192920,0.635,0.8170000000000001,0.53,0.00010800000000000001,0.341,-11.179,0.0333,131.188,4,0
I GOTCHA,"The Very Best of, Volume 2.",Joe Tex,1972,148813,0.84,0.182,0.856,0.000297,0.306,-11.277000000000001,0.32799999999999996,93.41,4,1
Lean on Me,Still Bill,Bill Withers,1972,258834,0.619,0.782,0.22,1.1900000000000001e-05,0.124,-13.843,0.0667,75.16,4,0
