Name,Album,Artist,Popular_date,Length,Danceability,Acousticness,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature,k_cluster
"American Woman - 7"" Single Version",Platinum & Gold Collection,The Guess Who,1970,231640,0.5379999999999999,0.0424,0.841,0.0017800000000000001,0.312,-7.547000000000001,0.0375,93.07700000000001,4,1
War - Single Version,Superstar Series Vol. 3,Edwin Starr,1970,200960,0.591,0.0677,0.7809999999999999,0.0,0.294,-9.68,0.192,109.48100000000001,4,1
Get Ready - Single Version,Greatest Hits And Rare Classics,Rare Earth,1970,166466,0.617,0.0244,0.83,0.0121,0.259,-10.197000000000001,0.028999999999999998,136.786,4,1
Band Of Gold - Re-Record,Band Of Gold (Remix),Freda Payne,1970,182533,0.631,0.451,0.746,0.0,0.424,-5.439,0.0277,108.875,4,1
Mama Told Me (Not To Come),The Best Of 3 Dog Night,Three Dog Night,1970,196933,0.6779999999999999,0.135,0.621,0.000468,0.207,-13.454,0.0537,120.7,4,1
Hitchin' a Ride,Rewind the 70s - Volume 2,Various Artists,1970,176160,0.73,0.17300000000000001,0.643,0.0,0.177,-11.186,0.0286,130.748,4,1
ABC,ABC,The Jackson 5,1970,177733,0.715,0.486,0.6779999999999999,0.000192,0.15,-11.842,0.0475,94.76899999999999,4,1
The Love You Save,ABC,The Jackson 5,1970,181426,0.755,0.41100000000000003,0.713,0.0,0.11800000000000001,-10.953,0.0513,113.656,4,1
Candida,Candida,Tony Orlando & Dawn,1970,182973,0.7829999999999999,0.235,0.596,0.0,0.0427,-10.056000000000001,0.0676,127.57600000000001,4,1
Thank You (Falettinme Be Mice Elf Agin) - Single Version,Greatest Hits,Sly & The Family Stone,1970,291320,0.9,0.29600000000000004,0.7090000000000001,0.00047000000000000004,0.0863,-12.683,0.0636,105.822,4,1
Spill The Wine,The Best Of Eric Burdon & War,Eric Burdon,1970,244306,0.845,0.47,0.447,0.0,0.0782,-11.897,0.049,119.45700000000001,4,1
Knock Three Times,The Definitive Collection,Tony Orlando & Dawn,1971,180360,0.777,0.154,0.581,0.0,0.11,-10.129,0.0517,123.1,4,1
Tired of Being Alone,Gets Next to You,Al Green,1971,172320,0.772,0.33899999999999997,0.397,0.00541,0.0753,-8.585,0.0391,97.964,4,1
Treat Her Like A Lady,The Story Of Cornelius Brothers & Sister Rose,Cornelius Brothers & Sister Rose,1971,160360,0.775,0.191,0.47600000000000003,0.0,0.132,-8.539,0.0355,131.4,4,1
Mr. Big Stuff,Mr. Big Stuff,Jean Knight,1971,164560,0.8859999999999999,0.29,0.491,2.46e-06,0.22899999999999998,-12.589,0.171,93.236,4,1
Brown Sugar - 2009 Mix,Sticky Fingers (Remastered),The Rolling Stones,1971,228666,0.633,0.21899999999999997,0.934,0.00021,0.0592,-3.594,0.0344,128.606,4,1
