Name,Album,Artist,Popular_date,Length,Danceability,Acousticness,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature,k_cluster
Bridge Over Troubled Water,Bridge Over Troubled Water,Simon & Garfunkel,1970,293120,0.149,0.8220000000000001,0.20600000000000002,0.0006490000000000001,0.115,-13.888,0.0323,79.764,4,2
(They Long To Be) Close To You,Close To You,Carpenters,1970,276000,0.5429999999999999,0.669,0.24100000000000002,6.27e-05,0.121,-14.59,0.0344,89.07799999999999,4,2
I'll Be There,Third Album,The Jackson 5,1970,237760,0.51,0.593,0.515,1.24e-06,0.654,-7.247000000000001,0.0253,93.212,4,2
Let It Be - Remastered 2009,Let It Be (Remastered),The Beatles,1970,243026,0.44299999999999995,0.631,0.40299999999999997,0.0,0.111,-8.339,0.0322,143.46200000000002,4,2
Mama Told Me (Not To Come),The Best Of 3 Dog Night,Three Dog Night,1970,196933,0.6779999999999999,0.135,0.621,0.000468,0.207,-13.454,0.0537,120.7,4,2
Everything Is Beautiful - 1970 #1 Billboard chart hit,Everything Is Beautiful,Ray Stevens,1970,212773,0.37,0.514,0.37799999999999995,0.0,0.222,-15.177999999999999,0.0369,112.15899999999999,4,2
Make It with You,The Best of Bread,Bread,1970,192200,0.629,0.66,0.35600000000000004,0.000617,0.17300000000000001,-11.135,0.0246,83.88600000000001,4,2
ABC,ABC,The Jackson 5,1970,177733,0.715,0.486,0.6779999999999999,0.000192,0.15,-11.842,0.0475,94.76899999999999,4,2
Cracklin' Rosie - Single Version,Tap Root Manuscript,Neil Diamond,1970,179933,0.562,0.319,0.503,0.0,0.163,-14.835999999999999,0.0335,127.82700000000001,4,2
Spill The Wine,The Best Of Eric Burdon & War,Eric Burdon,1970,244306,0.845,0.47,0.447,0.0,0.0782,-11.897,0.049,119.45700000000001,4,2
Joy To The World,Naturally,Three Dog Night,1971,220573,0.649,0.46399999999999997,0.679,0.00121,0.33899999999999997,-12.515,0.0316,126.867,4,2
Maggie May,Every Picture Tells A Story,Rod Stewart,1971,350266,0.611,0.611,0.583,0.0853,0.0688,-10.427999999999999,0.0408,129.43200000000002,4,2
Reason To Believe,The Definitive Collection - 1969-1978,Rod Stewart,1971,248920,0.349,0.6990000000000001,0.584,0.00172,0.222,-9.663,0.0441,138.215,4,2
It's Too Late,Tapestry,Carole King,1971,233173,0.45,0.498,0.441,0.00562,0.133,-12.718,0.0352,208.282,4,2
One Bad Apple,Osmonds,The Osmonds,1971,164973,0.6,0.382,0.5670000000000001,0.0,0.213,-7.162999999999999,0.0398,101.041,4,2
How Can You Mend A Broken Heart,Trafalgar,Bee Gees,1971,237826,0.335,0.5479999999999999,0.262,0.0,0.0971,-13.832,0.0393,68.82,4,2
Go Away Little Girl,20th Century Masters: The Millennium Collection: Best of Donny Osmond,Donny Osmond,1971,149160,0.316,0.76,0.39,0.00018600000000000002,0.149,-11.472000000000001,0.0409,110.055,4,2
"Take Me Home, Country Roads - Rerecorded","The John Denver Collection, Vol. 1: Take Me Home Country Roads",John Denver,1971,197813,0.255,0.546,0.43,1.87e-05,0.188,-12.564,0.0322,164.267,4,2
Just My Imagination (Running Away With Me),Sky's The Limit,The Temptations,1971,228160,0.425,0.88,0.242,0.0118,0.195,-15.424000000000001,0.0267,92.47200000000001,4,2
Me and Bobby McGee,Pearl (Legacy Edition),Janis Joplin,1971,271333,0.45299999999999996,0.302,0.46399999999999997,5.96e-05,0.152,-10.96,0.0431,93.19,4,2
