,Name,Album,Artist,Popular_date,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
58,Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando) - Digitally Remastered 1998,Tuneweaving,Tony Orlando & Dawn,1973,1973-05-12,206253,51,0.559,0.283,0.559,0.615,0.0,0.0957,-12.27,0.0473,87.601,4
59,"Bad, Bad Leroy Brown",Photographs & Memories: His Greatest Hits,Jim Croce,1973,1974-01-01,180506,0,0.663,0.459,0.663,0.844,0.0,0.0701,-6.211,0.0421,148.013,4
60,Killing Me Softly with His Song,Killing Me Softly,Roberta Flack,1973,1973-01-01,286920,74,0.477,0.727,0.477,0.381,0.0,0.0615,-10.237,0.0342,121.568,4
61,Let's Get It On,Let's Get It On,Marvin Gaye,1973,1973-08-28,290960,60,0.55,0.0392,0.55,0.611,0.0,0.0631,-10.657,0.0443,168.512,4
62,My Love - 1993 Digital Remaster,Red Rose Speedway,Paul McCartney,1973,1973-04-30,247706,0,0.421,0.255,0.421,0.326,0.0142,0.0787,-15.031,0.0339,120.228,4
63,Why Me,16 Biggest Hits,Kris Kristofferson,1973,2007,207560,29,0.416,0.643,0.416,0.191,1.33E-06,0.116,-13.184,0.026,82.088,3
64,Crocodile Rock,Don't Shoot Me I'm Only The Piano Player,Elton John,1973,1973-01-22,235440,71,0.621,0.0263,0.621,0.8,1.51E-05,0.0591,-7.284,0.0344,149.91,4
65,Will It Go Round In Circles,Ultimate Collection: Billy Preston,Billy Preston,1973,2000-01-01,268893,46,0.677,0.284,0.677,0.871,3.02E-05,0.405,-7.997,0.0281,98.446,4
66,You're so Vain,No Secrets,Carly Simon,1973,1972,258411,75,0.659,0.157,0.659,0.678,6.69E-06,0.0784,-8.18,0.0313,106.186,4
67,Touch Me In The Morning,Touch Me In The Morning,Diana Ross,1973,1973-06-22,207413,52,0.355,0.454,0.355,0.615,0.0,0.0477,-7.21,0.0314,137.19,4
68,The Night The Lights Went Out In Georgia,The Night The Lights Went Out In Georgia (Deluxe Edition),Vicki Lawrence,1973,2014-01-01,220520,0,0.455,0.846,0.455,0.417,0.0,0.132,-13.446,0.168,172.015,4
69,Delta Dawn,Helen Reddy's Greatest Hits (And More),Helen Reddy,1973,1987-01-01,191093,35,0.566,0.582,0.566,0.659,0.0,0.286,-11.976,0.0893,78.729,4
70,Me and Mrs. Jones,360 Degrees Of Billy Paul,Billy Paul,1973,1972,285760,0,0.303,0.388,0.303,0.555,1.16E-06,0.468,-9.259,0.0482,67.322,4
71,Frankenstein,The Best Of Edgar Winter,Edgar Winter,1973,2002,285600,48,0.625,0.0595,0.625,0.733,0.88,0.164,-12.127,0.0927,95.211,4
72,Drift Away,Throwback Tunes: 70s,Various Artists,1973,2017-10-20,234300,55,0.508,0.325,0.508,0.46,0.0,0.648,-7.662,0.0404,75.836,4
73,Little Willy,Rare Studio Tracks,Sweet,1973,2010-05-01,192293,44,0.662,0.332,0.662,0.772,1.22E-06,0.314,-7.135,0.0356,127.025,4
74,You Are The Sunshine Of My Life,Talking Book,Stevie Wonder,1973,1972-10-28,178200,71,0.519,0.823,0.519,0.46,5.97E-05,0.243,-14.53,0.0688,132.082,4
75,Half-Breed,Half-Breed,Cher,1973,1973-01-01,167533,43,0.646,0.524,0.646,0.467,0.0,0.329,-12.678,0.0325,102.704,4
