,Name,Album,Artist,Popular_year,Release_date,Length,Popularity,Danceability,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_signature
78,Look Away,Chicago 19,Chicago,1989,1988-06-20,241333,28,0.407,0.43,0.407,0.569,0.0,0.144,-7.452,0.0338,172.986,4
79,My Prerogative,Don't Be Cruel,Bobby Brown,1989,1988-01-01,291560,57,0.762,0.0655,0.762,0.625,0.0,0.252,-10.481,0.0562,110.163,4
80,Every Rose Has Its Thorn - Remastered 2003,Open Up And Say...Ahh! (20th Anniversary Edition),Poison,1989,1988-03-21,260173,72,0.533,0.16,0.533,0.637,1.12E-05,0.369,-5.571,0.0323,140.167,4
81,Straight Up,Forever Your Girl,Paula Abdul,1989,1988-01-01,251466,62,0.769,0.267,0.769,0.826,0.0177,0.0638,-8.252,0.0624,95.862,4
82,Miss You Much,Rhythm Nation 1814,Janet Jackson,1989,1989-09-19,252333,49,0.702,0.0305,0.702,0.975,0.000134,0.165,-7.968,0.0396,115.185,4
83,Cold Hearted,Forever Your Girl,Paula Abdul,1989,1988-01-01,231400,54,0.879,0.149,0.879,0.679,0.00871,0.0787,-8.59,0.0421,122.38,4
84,Wind Beneath My Wings,Beaches (Original Soundtrack Recording),Bette Midler,1989,1988,293853,65,0.51,0.551,0.51,0.458,0.0,0.0853,-7.566,0.0289,123.694,4
85,Girl You Know It's True,Girl You Know It's True - The Best Of Milli Vanilli,Milli Vanilli,1989,2013-07-26,198573,61,0.772,0.00797,0.772,0.822,0.00148,0.457,-5.649,0.123,97.718,4
86,"Baby, I Love Your Way/Freebird",Will To Power,Will To Power,1989,1988-08-09,247200,56,0.625,0.02,0.625,0.435,0.00243,0.201,-12.02,0.0286,150.829,4
87,Giving You the Best That I Got - Single Version,American 80's,Various Artists,1989,2017-03-17,233973,50,0.637,0.765,0.637,0.542,0.0,0.302,-8.173,0.0356,105.322,4
88,Right Here Waiting,Repeat Offender,Richard Marx,1989,1989-01-01,264333,76,0.395,0.8,0.395,0.252,0.0,0.101,-13.589,0.0301,177.679,4
89,Waiting for a Star to Fall,Reel Life,Boy Meets Girl,1989,1988,270506,0,0.671,0.0775,0.671,0.86,2.15E-06,0.159,-5.192,0.0264,116.465,4
90,Lost in Your Eyes,Electric Youth,Debbie Gibson,1989,1989-01-10,213000,66,0.482,0.46,0.482,0.613,0.000856,0.129,-7.462,0.0295,144.46,4
91,Don't Wanna Lose You,Cuts Both Ways,Gloria Estefan,1989,1989-07-11,250066,43,0.545,0.413,0.545,0.356,1.56E-06,0.128,-14.127,0.0245,82.214,4
92,Heaven,Dirty Rotten Filthy Stinking Rich,Warrant,1989,1989,236843,61,0.462,0.115,0.462,0.488,0.0,0.128,-11.143,0.0287,145.789,4
93,I'm Gonna Miss You,Greatest Hits,Milli Vanilli,1989,2007-03-01,239640,44,0.72,0.111,0.72,0.504,0.00223,0.109,-9.034,0.0449,75.656,4
94,The Look,Look Sharp! (2009 Version),Roxette,1989,1988-10-19,237320,7,0.634,0.0531,0.634,0.838,8.34E-06,0.0522,-5.363,0.0413,95.011,4
95,She Drives Me Crazy,The Raw And The Cooked,Fine Young Cannibals,1989,1988,215773,0,0.799,0.193,0.799,0.687,0.000188,0.0307,-5.682,0.0431,108.804,4
96,On Our Own,Ghostbusters II,Various Artists,1989,1989-06-16,294413,49,0.659,0.0035,0.659,0.899,0.0,0.0629,-6.207,0.0423,101.802,4
97,Two Hearts,...Hits,Phil Collins,1989,1998-09-25,204093,0,0.589,0.334,0.589,0.808,0.0512,0.0514,-6.578,0.0354,155.599,4
