"1970 - 1979","1980 - 1989","1990 - 1999","2000 - 2009","2010 - 2019"
"Mean length","236273.39690722","255384.27411168","263419.73869347","241849.70351759","221412.355"
"Max length","516893","478106","536066","359973","343150"
"Min length","144866","153880","166693","168253","149546"
"Count of length","194","197","199","199","200"
"Median length","222333","247293","259440","237493","219446"
"Std of length","60925.848114309","46492.649035879","48654.643841627","33378.784109881","31413.794984779"
"Var of length","3711958968.4479","2161566414.3734","2367274367.3556","1114143228.6541","986826515.3457"
"","","","","",""
"Mean Popularity","41.628865979381","48.370558375635","50.040201005025","57.723618090452","67.465"
"Max Popularity","83","84","81","84","88"
"Min Popularity","49","56","58","68","75"
"Count of Popularity","194","197","199","199","200"
"Median Popularity","49","56","58","68","75"
"Std of Popularity","25.161991069116","25.402067772833","23.647204801179","25.859937327079","22.782757629974"
"Var of Popularity","633.12579456226","645.2650471356","559.19029490889","668.73635856048","519.05404522613"
"","","","","",""
"Mean Danceability","0.61595360824742","0.64338578680203","0.64444221105528","0.68274874371859","0.68872"
"Max Danceability","0.925","0.932","0.937","0.967","0.927"
"Min Danceability","0.149","0.258","0.19","0.19","0.358"
"Count of Danceability","194","197","199","199","200"
"Median Danceability","0.6375","0.651","0.662","0.706","0.698"
"Std of Danceability","0.15379783821214","0.14392487907712","0.140327450489","0.15456105062281","0.10621539507413"
"Var of Danceability","0.023653775038726","0.020714370817362","0.019691793360743","0.023889118369626","0.011281710150754"
"","","","","",""
"Mean Energy","0.54872525773196","0.6193152284264","0.60687386934673","0.69317085427136","0.680115"
"Max Energy","0.984","0.989","0.976","0.983","0.963"
"Min Energy","0.0264","0.0971","0.0735","0.265","0.147"
"Count of Energy","194","197","199","199","200"
"Median Energy","0.5245","0.633","0.598","0.706","0.699"
"Std of Energy","0.19354371594165","0.18921214249871","0.20471977452463","0.14497892899765","0.15933524524375"
"Var of Energy","0.037459169980503","0.035801234868953","0.041910186081417","0.021018889853307","0.025387720376884"
"","","","","",""
